,title,d23_link,summary
399,"Clock Watcher, The",a-to-z/clock-watcher-the-film/,"Donald Duck cartoon; released on January 26, 1945. Directed by Jack King. Donald works as a department store gift wrapper, but his job is threatened because of his tardiness, laziness, and playing with the merchandise."
400,Close-up on the Planets,a-to-z/close-up-on-the-planets-film/,Educational film; released in September 1982. Computer animation and footage from NASA space missions explain how our solar system evolved and the place Earth has within the system.
401,Clown of the Jungle,a-to-z/clown-of-the-jungle-film/,"Donald Duck cartoon; released on June 20, 1947. Directed by Jack Hannah. Photographer Donald is harrassed and driven half-mad by a crazy Aracuan bird who keeps sabotaging his photography of the jungle and its animals. The bird starred earlier in The Three Caballeros and Melody Time."
402,Cock o' the Walk,a-to-z/cock-o-the-walk-film/,"Silly Symphony cartoon; released on November 30, 1935. Directed by Ben Sharpsteen. A farmyard battle ensues between a hick rooster and a city slicker over the love of a beautiful lady pullet, who discovers the city rooster is married. The hick avenges her, becomes the champ, and resumes his romance with her."
403,Cocktail,a-to-z/cocktail-film/,"Returning from his military service, young Brian Flanagan finds his hopes dashed when he tries to find a career bringing him power, excitement, and quick personal profit. He ends up as a bartender, but under the tutelage of seasoned pro Doug Coughlin, his flashy expertise and killer smile make him a star on the club circuit; soon he is swept up in a seductive world of easy money and sex in New York and Jamaica. Eventually, a spirited romance with Jordan Mooney helps bring perspective to the cocksure bartender's life. Released on July 29, 1988. Directed by Roger Donaldson. A Touchstone film. 103 min. Stars Tom Cruise (Brian Flanagan), Brian Brown (Doug Coughlin), Elisabeth Shue (Jordan Mooney). Cruise and Brown spent several weeks at a bartending school, and soon each was adept at the flashy tricks that were so impressive in the movie. Filmed on location in New York City, in Jamaica, and in Toronto. Released on video in 1989."
404,Coco,a-to-z/coco/,"Despite his family's baffling generations-old ban on music, 12-year-old Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history. Directed by Lee Unkrich and Adrian Molina. Released on Nov. 22, 2017, also in 3D, after an Oct. 27 release in Mexico. Also in 3D. Stars include Anthony Gonzalez (Miguel), Benjamin Bratt (Ernesto de la Cruz), Gael Garcia Bernal (Hector), Edward James Olmos (Chicharron), Gabriel Iglesias (head clerk), Cheech Marin (Corrections Officer), Alfonso Arau (Papa Julio), Sofia Espinosa (Mama). 105 min. Filmed in widescreen format. From Pixar Animation Studios. Accompanying the release was the featurette Olaf's Frozen Adventure. Coco won Academy Awards for Best Animated Feature and Best Song (""Remember Me"") with music and lyrics by Kristen Anderson-Lopez and Robert Lopez."
405,"Cold Blooded Penguin, The",a-to-z/cold-blooded-penguin-the-film/,Segment of The Three Caballeros in which Pablo Penguin cannot stand the cold weather at the South Pole so he sets off for warmer climes. 16mm release in December 1971.
406,Cold Creek Manor,a-to-z/cold-creek-manor-film/,"Cooper Tilson and his wife Leah, tiring of the hustle and bustle of New York City, pack up their kids and move into a recently repossessed mansion in the sticks of New York State. Once grand and elegant, the manor at Cold Creek is now a shambles, but the family has plenty of time to renovate. Then a mysterious former resident returns and a series of terrifying incidents occur at the house, leading the Tilsons to wonder about the family that used to live in their new home and what dark secrets are hidden inside. A Touchstone Picture. Directed by Mike Figgis. Released on September 19, 2003. Stars Dennis Quaid (Cooper Tilson), Sharon Stone (Leah Tilson), Stephen Dorff (Dale Massie), Juliette Lewis (Ruby), Kristen Stewart (Kristen Tilson), Ryan Wilson (Jesse Tilson), Dana Eskelson (Sheriff Ferguson), Christopher Plummer (Mr. Massie). 119 min. Filmed in Ontario, Canada. Released on video in 2004."
407,Cold Storage,a-to-z/cold-storage-film/,"Pluto cartoon; released on February 9, 1951. Directed by Jack Kinney. Pluto and a stork battle in the dead of winter for possession of Pluto's house, confiscated by the stork, until spring arrives."
408,Cold Turkey,a-to-z/cold-turkey-film/,"Pluto cartoon; released on September 21, 1951. Directed by Charles Nichols. Pluto and Milton, the cat, are persuaded by a television commercial for Lurkey Turkey to cook one of their own, but the situation quickly explodes into a fight for the bird."
409,Cold War,a-to-z/cold-war-film/,"Goofy cartoon; released on April 27, 1951. Directed by Jack Kinney. When Goofy gets a cold, he is tormented by a virus character until his wife comes home and puts him to bed. The virus goes away, only to return two weeks later when Goofy is back at work, but sitting in a draft."
410,College Road Trip,a-to-z/college-road-trip-film/,"High school student, Melanie, is eagerly looking forward to her first big step toward independence when she plans a ""girls only"" road trip to check out prospective universities. But when her overprotective police chief father insists on escorting her instead, she soon finds her dream trip has turned into a nightmare adventure full of comical misfortune and turmoil. Dad is trying to assure total security and safety for his precious daughter, while Melanie has a 17-year-old's need to become a grown woman and have her own sense of independence. Directed by Roger Kumble. Released on March 7, 2008. Stars Martin Lawrence (James Porter), Raven-Symone (Melanie), Kym E. Whitley (Michelle), Eshaya Draper (Trey), Lucas Grabeel (Scooter), Brenda Song (Nancy), Arnetia Walker (Grandma Porter), Margo Harshman (Katie), Donnie Osmond (Doug Greenhut), Molly Ephraim (Wendy). 83 min. Primarily filmed in Connecticut, utilizing private academies, prep schools, and colleges in that state standing in for Northwestern, the University of Pennsylvania, and Georgetown University. Filmed in Super 35."
411,"Color of Money, The",a-to-z/color-of-money-the-film/,"Former pool hustler, Fast Eddie Felson, sees promise in a cocky kid, Vincent. With the help of Vincent's girlfriend, Carmen, he takes the kid under his wing to prepare him for a major Atlantic City tournament. After a falling out, Felson takes up his cue stick again and the two end up playing against each other. Released on October 17, 1986. Directed by Martin Scorsese. A Touchstone film. 120 min. Stars Paul Newman (Eddie), Tom Cruise (Vincent), Mary Elizabeth Mastrantonio (Carmen), Helen Shaver (Janelle), John Turturro (Julian). Academy Award winner for Best Actor for Paul Newman. The filming took place in Chicago and Atlantic City. Released on video in 1987."
412,Color of Night,a-to-z/color-of-night-film/,"Haunted by the bizarre suicide of a patient, New York psychologist Dr. Bill Capa abandons his successful practice and relocates to Los Angeles. He soon finds himself entangled in an explosive sexual relationship with a beautiful but enigmatic woman named Rose, and the investigation into the brutal murder of a friend and colleague, Dr. Bob Moore. After he is persuaded by a police detective to take over his friend's counselling sessions, he is shocked to discover that the fanatic murderer, probably one of the group, is now stalking him. Released on August 19, 1994. Directed by Richard Rush. A Hollywood Pictures film, in association with Cinergi Pictures. 123 min. Stars Bruce Willis (Bill Capa), Jane March (Rose), Ruben Blades (Martinez), Lesley Ann Warren (Sondra), Brad Dourif (Clark), Lance Henriksen (Buck), Kevin J. O'Connor (Casey). Filmed at a variety of locations in Los Angeles, California, and at the Ren Mar Studios in New York. The director's cut was released on video in 1995."
413,Comets: Time Capsules of the Solar System,a-to-z/comets-time-capsules-of-the-solar-system-film/,Educational film; released in September 1981. The film discusses the role comets play in contemporary scientific research about the solar system's beginnings.
414,Commando Duck,a-to-z/commando-duck-film/,"Donald Duck cartoon; released on June 2, 1944. Directed by Jack King. Donald helps battle the Japanese during World War II. With the aid of a rubber raft, he manages to carry out his instructions to wipe out an enemy airfield by causing a flood to wash it away."
415,"Computer Wore Tennis Shoes, The",a-to-z/computer-wore-tennis-shoes-the-film/,"Dexter Riley, a science student, accidentally acquires all of the knowledge stored up in a used computer recently obtained for Medfield College when he tries to replace a fuse. The information includes data about a bookie ring, and Dexter's life is threatened, but he saves the day by capturing the crooks and winning a cash contest on television for dear old Medfield. Released on December 31, 1969. Directed by Robert Butler. 91 min. Stars Kurt Russell (Dexter), Cesar Romero (A. J. Arno), Joe Flynn (Dean Higgins), William Schallert (Prof. Quigley), Alan Hewitt (Dean Collingsgood), Richard Bakalyan (Chillie). The song ""The Computer Wore Tennis Shoes"" was written by Robert Brunner and Bruce Belland. Technical advisor Ko Suzuki, who was working on the Walt Disney World project at the time, was called upon to design and program some of the electronic equipment that was needed, and create graphs showing the comparisons of the human mind and a computer for use in Professor Quigley's classroom lecture scene. Released on video in 1985."
416,Computers: The Friendly Invasion,a-to-z/computers-the-friendly-invasion-film/,"Educational film taken from Computers Are People, Too! Released in September 1982. Students are introduced to computers and their promise for the future."
417,Computers: The Truth of the Matter,a-to-z/computers-the-truth-of-the-matter-film/,Educational film; released in October 1983. A positive introduction to computers.
418,Computers: Where They Come From and How They Work,a-to-z/computers-where-they-come-from-and-how-they-work-film/,Educational film; released in April 1989. 9 min. History of computers from sticks and stones through microchips.
419,Con Air,a-to-z/con-air-film/,"When a group of the most dangerous and notorious prisoners in the U.S. penal system are transferred to a new super-maximum security facility, parolee Cameron Poe hitches a ride on their Con Air transport flight only to find himself embroiled in a meticulously planned midair hijacking masterminded by Cyrus ""The Virus"" Grissom. On the ground, U.S. Marshal Vince Larkin faces impossible odds as he tries to avert the takeover and, at the same time, keep his overzealous superiors from blowing up the aircraft and its passengers. Together, Poe and Larkin must stop Cyrus and his band of savage, hardened lifers from massacring everyone on board as the damaged plane careens toward disaster on the famed Las Vegas strip. A Touchstone film. Directed by Simon West. Released on June 6, 1997. Stars Nicolas Cage (Cameron Poe), John Cusack (Vince Larkin), John Malkovich (Cyrus Grissom), Steve Buscemi (Garland Greene), Ving Rhames (Nathan Jones), Colm Meaney (Duncan Malloy), Mykelti Williamson (Baby-O), Rachel Ticotin (Sally Bishop). 115 min. Cinemascope. Filming took place at airports in Utah-at Salt Lake City, Ogden, and Wendover-and on the strip in Las Vegas, where 14 cameras were utilized to film the blowing up of the front of the soon-to-be-demolished Sands Hotel. Interiors were filmed in Los Angeles."
420,Condorman,a-to-z/condorman-film/,"Woody Wilkins, a comic book artist of ""Condorman"" stories, occasionally tests the character's comic gadgetry himself. Woody is asked by a CIA-agent friend to deliver diplomatic papers to a Russian agent with whom he falls in love, and when she offers to defect, he bumbles through a series of exciting and comic chases in trying to save her from the KGB. First released in England on July 2, 1981; U.S. release on August 7, 1981. Directed by Charles Jarrott. 90 min. Stars Michael Crawford (Woody Wilkins), Oliver Reed (Krokov), Barbara Carerra (Natalia), James Hampton (Harry), Jean-Pierre Kalfon (Morovich), Dana Elcar (Russ), Vernon Dobtcheff (Russian agent), Robert Arden (CIA chief). Suggested by The Game of X by Robert Sheckley. The movie was filmed at Pinewood Studios in England as well as on location in France, Monaco, Yugoslavia, Italy, and Switzerland. First- and second-unit crews filmed simultaneously in separate locations. While the principals filmed scenes with dialogue, the second-unit crew performed high-speed chases-in racing cars on stretches of road in southern France, and with boats in the Mediterranean off St. Tropez and Nice-rigged explosions and crashes, and performed aerial work on the tram cable at the Matterhorn and off the Eiffel tower. Automobiles and boats used in the movie were a speed enthusiast's dream: seven Porsche 935 Turbo Carreras comprised the deadly pursuit squadron of the Russian KGB; two Group 5 Lemans Porsches, competition racing cars, were used by the squadron leader, Morovitch, and the ""Condor Car"" was portrayed by four modified Sterling racers. Woody Wilkins' comic book inventions, which include a machine gun/walking stick, a laser cannon, self-propelling jet rods to ride the cable up the Matterhorn, and his semi-aeronautic Condorman wings, were built by Academy Award-winning special effects artist Colin Chilvers. Released on video in 1981."
421,Confessions of a Shopaholic,a-to-z/confessions-of-a-shopaholic-film/,"Rebecca Bloomwood is a sweet and charming New York City girl who has a tiny problem that is rapidly turning into a big problem: she is hopelessly addicting to shopping and is drowning in a sea of debt. While Rebecca has dreams of working for a top fashion magazine, she cannot quite get her foot in the door-that is, until she snags a job as an advice columnist for a financial magazine published by the same company. Overnight, her column becomes hugely popular, turning her into a celebrity. But when her compulsive shopping and growing debt issues threaten to destroy her love life and derail her career, she struggles to keep it all from spiraling out of control, and is ultimately forced to reevaluate what is really important in life. Directed by P.J. Hogan. Released on February 13, 2009, after a February 12 release in Russia and Thailand; from Touchstone Pictures and Jerry Bruckheimer Films. Stars Isla Fisher (Rebecca Bloomwood), Hugh Dancy (Luke Brandon), Krysten Ritter (Suze), Joan Cusack (Jane Bloomwood), John Goodman (Graham Bloomwood), John Lithgow (Edgar West), Wendle Malick (Miss Korch), Kristin Scott Thomas (Alette Naylor), Fred Armisen (Ryan Koenig), Leslie Bibb (Alicia Billington), Lynn Redgrave (drunken lady at ball), Robert Stanton (Derek Smeath), Julie Hagerty (Hayley). 105 min. Based on the best-selling novels by Sophie Kinsella. Filmed in CinemaScope on location in New York, Miami, and Connecticut."
422,Confessions of a Teenage Drama Queen,a-to-z/confessions-of-a-teenage-drama-queen-film/,"Teen Lola Cep finds her life turned upside down when her family moves from New York City to the ""cultural wasteland"" of suburban New Jersey. As she juggles making new friends at a new school while standing up to a new rival, Lola finds it hard enough just to live her life, let alone remember how important it is to live her dream. Released on February 20, 2004. Directed by Sara Sugarman. Stars Lindsay Lohan (Lola), Alison Pill (Ella), Megan Fox (Carla), Glenne Headly (Karen), Carol Kane (Miss Baggoli), Eli Marienthal (Sam), Adam Garcia (Stu). 90 min. Released on video in 2004."
423,Consenting Adults,a-to-z/consenting-adults-film/,"A happily married couple, Richard and Priscilla Parker, is tantalized by the lifestyle of their new neighbors, Eddy and Kay Otis. Richard is lured into an overnight wife-swapping arrangement with Eddy. The next morning, the police discover Kay, apparently brutally murdered, with Richard's fingerprints all over the murder weapon. With the help of a sympathetic detective, Richard discovers that Kay is still alive and must race against time in order to save the life of his own wife from the real killer. Released on October 16, 1992. Directed by Alan J. Pakula. A Hollywood Picture. 99 min. Stars Kevin Kline (Richard Parker), Mary Elizabeth Mastrantonio (Priscilla Parker), Kevin Spacey (Eddy Otis). Filmed in Atlanta, Georgia, and its suburbs, and on sites near Charleston, South Carolina. Released on video in 1993."
424,Consider the Alternatives,a-to-z/consider-the-alternatives-film/,"Educational release in December 1992, 20 min. In a magazine format, the hosts interview real kids about the many different decisions and choices they must make, and demonstrate the five steps to decision-making."
425,"Constitution, The: A History of Our Future",a-to-z/constitution-the-a-history-of-our-future-film/,Educational film; released in September 1989. 21 min. The history and significance of the U.S. Constitution.
426,Contrary Condor,a-to-z/contrary-condor-film/,"Donald Duck cartoon; released on April 21, 1944. Directed by Jack King. Donald, an egg collector, climbing in the Andes, is almost too successful when he pretends to be a baby condor when caught trying to steal an egg by the mother condor. Donald's attempts to escape with the egg are complicated by a baby condor and the mother's flying lessons. He loses in the end, still tucked under the mother's wing, along with the egg and the baby condor."
427,Contrasts in Rhythm,a-to-z/contrasts-in-rhythm-film/,"Special cartoon combining Bumble Boogie and Trees from Melody Time, released on March 11, 1955."
428,"Cookie Carnival, The",a-to-z/cookie-carnival-the-film/,"Silly Symphony cartoon; released on May 25, 1935. Directed by Ben Sharpsteen. As a beauty contest progresses, a poor girl cookie cannot attend because of her rags. But, with the help of an ingenious boy cookie and the careful placement of candies and whipped cream, she wins the title of Cookie Queen and selects the boy as the king of the carnival."
429,"Cookie Kid, The",a-to-z/cookie-kid-the-film/,Educational film produced by the Glynn Group; released in September 1981. The girl holding the world's record for selling Girl Scout Cookies shows how effective sales techniques and setting of personal goals lead to success.
430,Cool Runnings,a-to-z/cool-runnings-film/,"When three determined Jamaican sprinters fail to make the Olympics, they enlist a has-been sledding expert to mold them into a bobsled team instead, and add an expert go-cart driver to their group. Through many hardships, not the least being the fact that there is no snow in Jamaica, they make it to the Olympics and earn the admiration of the world. Released on October 1, 1993. Directed by Jon Turteltaub. 98 min. Stars Leon (Derice Bannock), Doug E. Doug (Sanka Coffie), Rawle D. Lewis (Junior Bevil), Malik Yoba (Yul Brenner), John Candy (Irv). Based on the true story of the 1988 Jamaican Olympic bobsled team. The filmmakers travelled to Jamaica for the primary filming, and shot the Winter Olympics scenes in Calgary, Alberta, Canada. Released on video in 1994."
431,Corky Romano,a-to-z/corky-romano-film/,"Good-natured veterinarian, Corky Romano, receives a surprising call from his long-lost father, ""Pops,"" an underworld crime lord who has just been indicted by the grand jury and will soon go to trial. Pops realizes that his son is the one person who could infiltrate the FBI and abscond with the evidence against him. A computer hacker, intimidated into helping, goes overboard and makes Corky appear to be a superagent, a reputation he must live up to. As Agent Pissant, he tries to fake his way through one tough assignment after another while hunting for the elusive incriminating proof of his father's illegal activities. Directed by Rob Pritts. A Touchstone Picture. Released on October 12, 2001. Stars Chris Kattan (Corky Romano), Peter Berg (Paulie), Chris Penn (Peter), Richard Roundtree (Howard Shuster), Vinessa Shaw (Kate Russo), Matthew Glave (Brick Davis), Fred Ward (Leo Corrigan), and Peter Falk (Pops). 86 min. Released on video in 2002."
432,Corn Chips,a-to-z/corn-chips-film/,"Donald Duck cartoon; released on March 23, 1951. Directed by Jack Hannah. Donald tricks Chip and Dale into shoveling his sidewalk after they dump snow on his just-shoveled sidewalk. They retaliate by stealing Donald's bowl of popcorn. When Donald builds a fire to smoke them out of their tree, the chipmunks dump a box of kernels into the tree, resulting in popcorn exploding all over the yard. Donald is back to shoveling the popcorn as if it was snow."
433,Cosmic Capers,a-to-z/cosmic-capers-film/,Foreign theatrical release edited from Mars and Beyond. First released in England in December 1979. 18 min.
434,Cost,a-to-z/cost-film/,"Educational film from The People on Market Street series, produced by Terry Kahn; released in September 1977. The giving of a party is used to illustrate the economic concept of cost."
435,"Count of Monte Cristo, The",a-to-z/count-of-monte-cristo-the-film/,"Alexandre Dumas's classic story of an innocent man, Edmond Dantes, wrongly but deliberately imprisoned on the infamous island prison of Chateau D'If and his brilliant strategy for revenge against those who betrayed him. After 13 years, he escapes from prison and transforms himself into the mysterious and wealthy Count of Monte Cristo, cleverly insinuating himself into the French nobility and systematically destroying the men who manipulated and enslaved him. A Touchstone Picture from Spyglass Entertainment. Released on January 25, 2002. Directed by Kevin Reynolds. Stars Jim Caviezel (Edmond Dantes), Guy Pearce (Fernand), Richard Harris (Abbe Faria), Dagmara Dominczyk (Mercedes), Luis Guzman (Jacopo), James Frain (Villefort), Henry Cavill (Albert). 131 min. Filmed on location in Ireland and Malta. Released on video in 2002."
436,Country,a-to-z/country-film/,"A soft-spoken farmer's wife, Jewell Ivy, demonstrates surprising heroism when faced with the government's forced foreclosure of her family's farm. Her husband, Gil, is nearly destroyed by the tragic turn of events. Jewell manages to hold her family together while enlisting the aid of other farmers facing the same problems. Released on September 29, 1984 after a premiere on September 28 at the New York Film Festival. A Touchstone film. Directed by Richard Pearce. 110 min. Stars Jessica Lange (Jewell Ivy), Sam Shepherd (Gil Ivy), Wilford Brimley (Otis), Matt Clark (Tom McMullen), Therese Graham (Marlene Ivy), Levi L. Knebel (Carlisle Ivy), Jim Haynie (Arlon Brewer), Sandra Seacat (Louise Brewer), Alex Harvey (Fordyce). The film was co-produced by actress Lange. Along with screenwriter/co-producer William D. Wittliff, Lange fleshed out the basic plot of Country and met with farmers in the Midwest whose livelihoods had been threatened by forced foreclosures. The start of production saw cast and crew in a race against the elements to film an Iowa corn harvest. Sam Shepard took the controls of a massive gleaner-combine, which harvested the crop. Next the company moved onto the key set some 20 miles northeast of Waterloo in the farmlands of Iowa. There, a turn-of-the-century farmstead, slated to be demolished by its owner who wanted additional acreage for growing feed corn, became the Ivy farm. For three months the company worked 12-hour days capturing the reality of farm living. A secondary location was the rural hamlet of Readlyn, Iowa, with its giant grain elevators and broad main street. Winter arrived sooner than expected, and during the climactic auction sequence in which 100 local townspeople appeared, the wind chill factor steadied at 25 degrees below zero. Director Pearce could only film in five-minute segments before the Iowans had to break for the barn where red-hot butane heaters unsuccessfully attempted to warm the icy air. The harsh winter caused the production to move back to the Disney Burbank studio where interiors and the tornado sequences were filmed. The affecting piano solos were provided by George Winston. Jessica Lange was nominated for an Academy Award as Best Actress. Released on video in 1985 and 1989."
437,"Country Bears, The",a-to-z/country-bears-the-film/,"Like other celebrated rock and roll groups, the members of the legendary group, The Country Bears, were torn apart by the perils of their own success-ego, jealousy, and a little too much honey. An eager young fan, Beary Barrington, tries to convince the bitter ex-members of the rock band-brothers Ted and Fred Bedderhead, Tennessee O'Neal, and Zeb Zoober-to put aside their differences and perform a benefit concert to save Country Bear Hall, the legendary venue where the band got its start. Directed by Peter Hastings. Released on July 26, 2002. Stars Christopher Walken (Reed Thimple), Stephen Tobolowsky (Norbert Barrington), Daryl ""Chill"" Miller (Officer Hamm), M.C. Gainey (Roadie), Diedrich Bader (Officer Cheets and voice of Ted), Alex Rocco (Rip Holland), Candy Ford (voice of Trixie), James Gammon (voice of Big Al), Brad Garrett (voice of Fred), Toby Huss (voice of Tennessee), Kevin Michael Richardson (voice of Henry), Stephen Root (voice of Zeb), Haley Joel Osment (voice of Beary). 88 min. Featured are musical performances or appearances by real-life rock and roll legends Don Henley, John Hiatt, Elton John, Queen Latifah, Willie Nelson, Bonnie Raitt, and Brian Setzer. Inspired by the attraction at Walt Disney World. Ironically, the Country Bear Playhouse at Disneyland closed in the previous year. A full-size Country Bear Hall for the movie was constructed at the Disney Golden Oak Ranch in Newhall, California. The Animatronic bear suits were created by the Jim Henson Creature Shop. Released on video in 2002."
438,"Country Cousin, The",a-to-z/country-cousin-the-film/,"Silly Symphony cartoon; released on October 31, 1936. Directed by Wilfred Jackson. Academy Award winner for Best Cartoon. Abner, a mouse from the rural town of Podunk goes to visit his glamorous big city cousin, Monty. But when he accidentally gets drunk, is chased by a cat, and meets other terrors of big city life, he quickly heads for home."
439,"Country Coyote Goes Hollywood, A",a-to-z/country-coyote-goes-hollywood-a-film/,"Featurette; released on January 28, 1965. Directed by Winston Hibler. Chico the coyote manages to hitch a ride to Los Angeles and has all sorts of misadventures with the local residents. He is finally sent away to live in the wild, only to hitch another ride to New York. The main title sequences are done as if imprinted in the cement of Grauman's Chinese Theater in Hollywood. 37 min."
440,Courtesy Is Caring,a-to-z/courtesy-is-caring-film/,Educational film; released in September 1987. 6 min. The role of courtesy in friendship and daily life.
441,Cow Dog,a-to-z/cow-dog-film/,"Featurette; released on November 6, 1956. Directed by Larry Lansburgh. 22 min. Tells the story of a California ranch family who, in their devotion to the raising of purebred Hereford cattle, must capture an outlaw Brahma bull. A neighboring rancher brings his three Australian herding dogs, Stub, Queen, and Shorty, to help in the roundup to apprehend the bull. They are greeted with enthusiasm because of their ability, and they eventually manage to flush out the bull. Originally released with Secrets of Life. Nominated for an Academy Award."
442,"Cowboy Needs a Horse, A",a-to-z/cowboy-needs-a-horse-a-film/,"Special cartoon; released on November 6, 1956. Directed by Bill Justice. In this short featuring limited animation, a little boy dreams of such western adventures as battling Indians, capturing a bandit, and rescuing a fair damsel. Features the song, ""A Cowboy Needs a Horse,"" by Paul Mason Howard and Billy Mills."
443,Coyote Ugly,a-to-z/coyote-ugly-film/,"A talented 21-year-old singer, Violet Sanford, moves to Manhattan looking for her big career break in show business. Eventually she is discovered while performing in a popular western bar, the Coyote Ugly, in Greenwich Village, where sexy, enterprising young women tantalize customers and the media alike with their outrageous antics. Violet finds success, and a genuine fan and lovestruck admirer in a young chef named Kevin. Released on August 4, 2000. A Touchstone Pictures/Jerry Bruckheimer film. Directed by David McNally. Stars Piper Perabo (Violet Sanford), Adam Garcia (Kevin), Maria Bello (Lil), Malanie Lynskey (Gloria). Izabella Miko (Cammie), Bridget Moynahan (Rachel), Tyra Banks (Zoe), John Goodman (Bill Sanford). 101 min. Filmed in Cinemascope. Released on video in 2001."
444,Crack: The Big Lie,a-to-z/crack-the-big-lie-film/,"Educational film; released in February 1987. Based on actual case studies, a lesson on saying ""No."""
445,Cradle Will Rock,a-to-z/cradle-will-rock-film/,"The art and theater world of 1930s New York City is in the midst of a burgeoning cultural revolution. Different stories are interwoven to show how individual courage stood in the face of censorship and artists risked their livelihood by performing in shows and painting their canvasses. Nelson Rockefeller hires Mexican artist Diego Rivera to paint the lobby of Rockefeller Center, an Italian propagandist sells da Vincis to help fund the Mussolini war effort, and a paranoid ventriloquist tries to rid his vaudeville troupe of communists. The title refers to an infamous stage production being staged by Orson Welles' Federal Theater group, closed down on the eve of opening by soldiers. Released on December 8, 1999, in New York and Los Angeles, and beginning December 25, 1999, elsewhere. Directed by Tim Robbins. A Touchstone picture. Stars Hank Azaria (Marc Blitzstein), Ruben Blades (Diego Rivera), John Cusack (Nelson Rockefeller), Cary Elwes (John Houseman), Philip Baker Hall (Grey Mathers), Cherry Jones (Hallie Flanagan), Angus MacFadyen (Orson Welles), Bill Murray (Tommy Crickshaw), Vanessa Redgrave (Countess La Grange), Susan Sarandon (Margherita Sarfatti), John Turturro (Aldo Silvano). 134 min. Filmed in CinemaScope. Released on video in 2000."
446,Crazy Over Daisy,a-to-z/crazy-over-daisy-film/,"Donald Duck cartoon; released on March 24, 1950. Directed by Jack Hannah. When Donald attempts to get revenge on the chipmunks for wrecking his bike on his trip to Daisy's house, she scolds him for his cruel conduct."
447,Crazy with the Heat,a-to-z/crazy-with-the-heat-film/,"Donald Duck and Goofy cartoon; released on August 1, 1947. Directed by Bob Carlson. Donald and Goofy, wandering helplessly in the desert when their car runs out of gas, begin to see mirages."
448,Crazy/Beautiful,a-to-z/crazybeautiful-film/,"Nicole Oakley, the troubled daughter of a wealthy congressman, attends public school in the upscale community of Pacific Palisades. As an act of defiance, she makes a play for the attentions of Carlos Nunez, a straight-A student who rides the bus for two hours each morning from his East Los Angeles home, and the rebellious flirtation develops into true romance. However, Nicole's self-destructive tendencies threaten Carlos' ambitions, leading to an emotional and climactic confrontation. Directed by John Stockwell. A Touchstone Picture. Released on July 20, 2001. Stars Kirsten Dunst (Nicole Oakley), Jay Hernandez (Carlos Nunez), Lucinda Jenney (Courtney), Taryn Manning (Maddy), Rolando Molina (Hector), Bruce Davison (Congressman Tom Oakley). 99 min. Filmed on location in Pacific Palisades, Santa Monica, and Los Angeles. Released on video in 2001."
449,"Creative Film Adventures, #1",a-to-z/creative-film-adventures-1-film/,"Educational film, released in July 1976, which used segments of One Day on Beetle Rock, The Three Caballeros, and Mars and Beyond to inspire students to express their own feelings or interpretations through writing."
450,"Creative Film Adventures, #2",a-to-z/creative-film-adventures-2-film/,"Educational film, released in July 1976, which used Wynken, Blynken and Nod and a sequence from Perri, along with the Clair de Lune sequence meant for Fantasia, to get children to use their imaginations."
451,"Crew, The",a-to-z/crew-the-film/,"Four former wiseguys, Bobby Bartellemeo, Joey ""Bats"" Pistella, Mike ""The Brick"" Donatelli, and Tony ""The Mouth"" Donato, are now getting on in years and living at the ratty Raj Mahal senior citizen residence hotel in South Beach, Miami. Management's plans for renovations of the building to force higher rents and attract a classier clientele are squeezing the geezers out so they hatch a seemingly simple scheme to save their retirement residence. Their caper goes awry and inadvertently entangles a paranoid drug lord who is convinced that he is about to be rubbed out by a mysterious gangland rival. Released on August 25, 2000. Directed by Michael Dinner. A Touchstone Pictures film. Stars Richard Dreyfuss (Bobby Bartellemeo), Burt Reynolds (Joey Pistella), Dan Hedaya (Mike Donatelli), Seymour Cassell (Tony Donato), Carrie-Anne Moss (Olivia Neal), Jennifer Tilly (Ferris), Lainie Kazan (Pepper Lowenstein), Miguel Sandoval (Raul Ventana), Jeremy Piven (Det. Steve Menteer). 88 min. Released on video in 2001."
452,"Cri-Cri, El Grillito Cantor",a-to-z/cri-cr%c3%ad-el-grillito-cantor-film/,"Bill Justice and X Atencio prepared an animated sequence featuring the Three Little Pigs in this Mexican film produced by Carlos Amador, directed by Tito Davidson, and released in 1963. The English-language title is Cri-Cri, the Little Singing Cricket."
